fecha,Weekly_pixels,radiancia_semanal
2020-01-19,2,5.7059999999999995
2020-01-26,0,0.0
2020-02-02,0,0.0
2020-02-09,0,0.0
2020-02-16,3,3.924
2020-02-23,0,0.0
2020-03-01,1,3.784
2020-03-08,0,0.0
2020-03-15,0,0.0
2020-03-22,0,0.0
2020-03-29,0,0.0
2020-04-05,0,0.0
2020-04-12,0,0.0
2020-04-19,0,0.0
2020-04-26,0,0.0
2020-05-03,0,0.0
2020-05-10,0,0.0
2020-05-17,0,0.0
2020-05-24,0,0.0
2020-05-31,0,0.0
2020-06-07,0,0.0
2020-06-14,0,0.0
2020-06-21,0,0.0
2020-06-28,0,0.0
2020-07-05,0,0.0
2020-07-12,0,0.0
2020-07-19,0,0.0
2020-07-26,0,0.0
2020-08-02,0,0.0
2020-08-09,0,0.0
2020-08-16,0,0.0
2020-08-23,0,0.0
2020-08-30,0,0.0
2020-09-06,396,2300.654
2020-09-13,815,5187.527
2020-09-20,136,390.882
2020-09-27,258,859.606
2020-10-04,45,98.315
2020-10-11,12,33.488
2020-10-18,13,43.19
2020-10-25,5,9.173
2020-11-01,0,0.0
2020-11-08,0,0.0
2020-11-15,0,0.0
2020-11-22,0,0.0
2020-11-29,0,0.0
2020-12-06,0,0.0
2020-12-13,0,0.0
2020-12-20,0,0.0
2020-12-27,0,0.0
2021-01-03,0,0.0
2021-01-10,0,0.0
2021-01-17,0,0.0
2021-01-24,0,0.0
2021-01-31,0,0.0
2021-02-07,0,0.0
2021-02-14,0,0.0
2021-02-21,0,0.0
2021-02-28,0,0.0
2021-03-07,0,0.0
2021-03-14,0,0.0
2021-03-21,0,0.0
2021-03-28,0,0.0
2021-04-04,0,0.0
2021-04-11,0,0.0
2021-04-18,0,0.0
2021-04-25,0,0.0
2021-05-02,0,0.0
2021-05-09,0,0.0
2021-05-16,0,0.0
2021-05-23,0,0.0
2021-05-30,0,0.0
2021-06-06,0,0.0
2021-06-13,0,0.0
2021-06-20,0,0.0
2021-06-27,0,0.0
2021-07-04,4,11.023
2021-07-11,0,0.0
2021-07-18,0,0.0
2021-07-25,0,0.0
2021-08-01,0,0.0
2021-08-08,0,0.0
2021-08-15,0,0.0
2021-08-22,0,0.0
2021-08-29,0,0.0
2021-09-05,0,0.0
2021-09-12,0,0.0
2021-09-19,0,0.0
2021-09-26,0,0.0
2021-10-03,0,0.0
2021-10-10,0,0.0
2021-10-17,0,0.0
2021-10-24,2,9.425
2021-10-31,0,0.0
2021-11-07,0,0.0
2021-11-14,2,5.713
2021-11-21,3,13.743
2021-11-28,0,0.0
2021-12-05,1,4.76
2021-12-12,1,1.828
