fecha,Monthly_pixels,radiancia_mensual
2013-04-30,5,13.328
2013-05-31,0,0.0
2013-06-30,0,0.0
2013-07-31,0,0.0
2013-08-31,0,0.0
2013-09-30,0,0.0
2013-10-31,0,0.0
2013-11-30,0,0.0
2013-12-31,0,0.0
2014-01-31,0,0.0
2014-02-28,0,0.0
2014-03-31,0,0.0
2014-04-30,0,0.0
2014-05-31,0,0.0
2014-06-30,0,0.0
2014-07-31,0,0.0
2014-08-31,0,0.0
2014-09-30,0,0.0
2014-10-31,0,0.0
2014-11-30,0,0.0
2014-12-31,0,0.0
2015-01-31,0,0.0
2015-02-28,0,0.0
2015-03-31,0,0.0
2015-04-30,0,0.0
2015-05-31,0,0.0
2015-06-30,0,0.0
2015-07-31,0,0.0
2015-08-31,0,0.0
2015-09-30,0,0.0
2015-10-31,0,0.0
2015-11-30,0,0.0
2015-12-31,0,0.0
2016-01-31,4,3.779
2016-02-29,8,9.562
2016-03-31,20,46.162
2016-04-30,32,66.173
2016-05-31,22,46.772
2016-06-30,17,21.196
2016-07-31,16,26.416
2016-08-31,23,31.513
2016-09-30,23,39.792
2016-10-31,23,41.093
2016-11-30,33,59.021
2016-12-31,17,33.189
2017-01-31,38,69.786
2017-02-28,43,92.271
2017-03-31,46,92.873
2017-04-30,36,58.384
2017-05-31,12,16.583
2017-06-30,6,8.03
2017-07-31,9,11.043
2017-08-31,13,15.257
2017-09-30,7,8.958
2017-10-31,8,12.302
2017-11-30,17,24.319
2017-12-31,16,24.32
2018-01-31,14,20.905
2018-02-28,13,15.190999999999999
2018-03-31,14,18.309
2018-04-30,6,7.817
2018-05-31,5,5.259
2018-06-30,4,2.346
2018-07-31,8,6.386
2018-08-31,6,6.384
2018-09-30,5,6.782
2018-10-31,5,5.6240000000000006
2018-11-30,7,6.553
2018-12-31,5,5.15
2019-01-31,5,4.697
2019-02-28,8,7.32
2019-03-31,7,7.1450000000000005
2019-04-30,4,3.955
2019-05-31,1,0.83
2019-06-30,1,0.685
2019-07-31,1,0.736
2019-08-31,0,0.0
2019-09-30,0,0.0
2019-10-31,0,0.0
2019-11-30,2,1.59
2019-12-31,0,0.0
2020-01-31,0,0.0
2020-02-29,0,0.0
2020-03-31,0,0.0
2020-04-30,0,0.0
2020-05-31,0,0.0
2020-06-30,0,0.0
2020-07-31,0,0.0
2020-08-31,0,0.0
2020-09-30,0,0.0
2020-10-31,0,0.0
2020-11-30,0,0.0
2020-12-31,0,0.0
2021-01-31,0,0.0
2021-02-28,0,0.0
2021-03-31,0,0.0
2021-04-30,0,0.0
2021-05-31,0,0.0
2021-06-30,0,0.0
2021-07-31,0,0.0
2021-08-31,0,0.0
2021-09-30,0,0.0
2021-10-31,0,0.0
2021-11-30,1,0.814
