fecha,Weekly_pixels,radiancia_semanal
2013-04-14,5,13.328
2013-04-21,0,0.0
2013-04-28,0,0.0
2013-05-05,0,0.0
2013-05-12,0,0.0
2013-05-19,0,0.0
2013-05-26,0,0.0
2013-06-02,0,0.0
2013-06-09,0,0.0
2013-06-16,0,0.0
2013-06-23,0,0.0
2013-06-30,0,0.0
2013-07-07,0,0.0
2013-07-14,0,0.0
2013-07-21,0,0.0
2013-07-28,0,0.0
2013-08-04,0,0.0
2013-08-11,0,0.0
2013-08-18,0,0.0
2013-08-25,0,0.0
2013-09-01,0,0.0
2013-09-08,0,0.0
2013-09-15,0,0.0
2013-09-22,0,0.0
2013-09-29,0,0.0
2013-10-06,0,0.0
2013-10-13,0,0.0
2013-10-20,0,0.0
2013-10-27,0,0.0
2013-11-03,0,0.0
2013-11-10,0,0.0
2013-11-17,0,0.0
2013-11-24,0,0.0
2013-12-01,0,0.0
2013-12-08,0,0.0
2013-12-15,0,0.0
2013-12-22,0,0.0
2013-12-29,0,0.0
2014-01-05,0,0.0
2014-01-12,0,0.0
2014-01-19,0,0.0
2014-01-26,0,0.0
2014-02-02,0,0.0
2014-02-09,0,0.0
2014-02-16,0,0.0
2014-02-23,0,0.0
2014-03-02,0,0.0
2014-03-09,0,0.0
2014-03-16,0,0.0
2014-03-23,0,0.0
2014-03-30,0,0.0
2014-04-06,0,0.0
2014-04-13,0,0.0
2014-04-20,0,0.0
2014-04-27,0,0.0
2014-05-04,0,0.0
2014-05-11,0,0.0
2014-05-18,0,0.0
2014-05-25,0,0.0
2014-06-01,0,0.0
2014-06-08,0,0.0
2014-06-15,0,0.0
2014-06-22,0,0.0
2014-06-29,0,0.0
2014-07-06,0,0.0
2014-07-13,0,0.0
2014-07-20,0,0.0
2014-07-27,0,0.0
2014-08-03,0,0.0
2014-08-10,0,0.0
2014-08-17,0,0.0
2014-08-24,0,0.0
2014-08-31,0,0.0
2014-09-07,0,0.0
2014-09-14,0,0.0
2014-09-21,0,0.0
2014-09-28,0,0.0
2014-10-05,0,0.0
2014-10-12,0,0.0
2014-10-19,0,0.0
2014-10-26,0,0.0
2014-11-02,0,0.0
2014-11-09,0,0.0
2014-11-16,0,0.0
2014-11-23,0,0.0
2014-11-30,0,0.0
2014-12-07,0,0.0
2014-12-14,0,0.0
2014-12-21,0,0.0
2014-12-28,0,0.0
2015-01-04,0,0.0
2015-01-11,0,0.0
2015-01-18,0,0.0
2015-01-25,0,0.0
2015-02-01,0,0.0
2015-02-08,0,0.0
2015-02-15,0,0.0
2015-02-22,0,0.0
2015-03-01,0,0.0
2015-03-08,0,0.0
2015-03-15,0,0.0
2015-03-22,0,0.0
2015-03-29,0,0.0
2015-04-05,0,0.0
2015-04-12,0,0.0
2015-04-19,0,0.0
2015-04-26,0,0.0
2015-05-03,0,0.0
2015-05-10,0,0.0
2015-05-17,0,0.0
2015-05-24,0,0.0
2015-05-31,0,0.0
2015-06-07,0,0.0
2015-06-14,0,0.0
2015-06-21,0,0.0
2015-06-28,0,0.0
2015-07-05,0,0.0
2015-07-12,0,0.0
2015-07-19,0,0.0
2015-07-26,0,0.0
2015-08-02,0,0.0
2015-08-09,0,0.0
2015-08-16,0,0.0
2015-08-23,0,0.0
2015-08-30,0,0.0
2015-09-06,0,0.0
2015-09-13,0,0.0
2015-09-20,0,0.0
2015-09-27,0,0.0
2015-10-04,0,0.0
2015-10-11,0,0.0
2015-10-18,0,0.0
2015-10-25,0,0.0
2015-11-01,0,0.0
2015-11-08,0,0.0
2015-11-15,0,0.0
2015-11-22,0,0.0
2015-11-29,0,0.0
2015-12-06,0,0.0
2015-12-13,0,0.0
2015-12-20,0,0.0
2015-12-27,0,0.0
2016-01-03,0,0.0
2016-01-10,0,0.0
2016-01-17,0,0.0
2016-01-24,1,1.0
2016-01-31,3,2.779
2016-02-07,1,0.918
2016-02-14,1,1.267
2016-02-21,2,2.618
2016-02-28,3,3.759
2016-03-06,4,5.359
2016-03-13,0,0.0
2016-03-20,4,8.097999999999999
2016-03-27,10,26.281
2016-04-03,5,14.006
2016-04-10,7,18.673000000000002
2016-04-17,13,24.421
2016-04-24,9,15.802999999999999
2016-05-01,1,0.694
2016-05-08,5,11.36
2016-05-15,6,12.389
2016-05-22,4,6.591
2016-05-29,7,16.432
2016-06-05,0,0.0
2016-06-12,5,5.506
2016-06-19,4,7.765
2016-06-26,4,3.507
2016-07-03,6,5.423
2016-07-10,1,0.688
2016-07-17,3,6.027
2016-07-24,5,9.179
2016-07-31,5,9.517
2016-08-07,6,9.387
2016-08-14,4,3.819
2016-08-21,7,9.861
2016-08-28,6,8.446
2016-09-04,4,9.557
2016-09-11,9,14.809
2016-09-18,2,1.944
2016-09-25,8,13.482
2016-10-02,2,4.332
2016-10-09,5,6.406
2016-10-16,3,3.731
2016-10-23,6,11.688
2016-10-30,7,14.936
2016-11-06,3,3.554
2016-11-13,12,23.645
2016-11-20,9,15.239
2016-11-27,7,12.675
2016-12-04,3,5.043
2016-12-11,4,12.031
2016-12-18,5,8.574
2016-12-25,5,8.093
2017-01-01,3,4.245
2017-01-08,11,20.719
2017-01-15,4,7.506
2017-01-22,7,13.272
2017-01-29,13,24.728
2017-02-05,14,26.52
2017-02-12,10,17.315
2017-02-19,13,33.562
2017-02-26,6,14.722
2017-03-05,10,16.727
2017-03-12,11,22.661
2017-03-19,9,16.515
2017-03-26,15,31.161
2017-04-02,7,14.557
2017-04-09,7,9.991
2017-04-16,9,16.801000000000002
2017-04-23,9,14.841
2017-04-30,7,10.827
2017-05-07,0,0.0
2017-05-14,2,3.6470000000000002
2017-05-21,3,4.809
2017-05-28,5,5.638
2017-06-04,4,4.671
2017-06-11,0,0.0
2017-06-18,2,4.112
2017-06-25,1,1.038
2017-07-02,1,0.698
2017-07-09,1,0.778
2017-07-16,4,3.711
2017-07-23,0,0.0
2017-07-30,4,6.554
2017-08-06,1,3.267
2017-08-13,1,1.019
2017-08-20,4,4.404
2017-08-27,5,4.054
2017-09-03,3,3.683
2017-09-10,4,5.986
2017-09-17,2,1.802
2017-09-24,0,0.0
2017-10-01,0,0.0
2017-10-08,0,0.0
2017-10-15,1,2.487
2017-10-22,4,4.624
2017-10-29,2,1.952
2017-11-05,2,4.166
2017-11-12,6,7.745
2017-11-19,4,7.227
2017-11-26,2,2.8979999999999997
2017-12-03,7,9.759
2017-12-10,4,8.434000000000001
2017-12-17,4,5.792
2017-12-24,1,1.08
2017-12-31,4,4.777
2018-01-07,6,9.552999999999999
2018-01-14,5,7.407
2018-01-21,2,3.1430000000000002
2018-01-28,0,0.0
2018-02-04,1,0.802
2018-02-11,3,3.776
2018-02-18,6,7.0600000000000005
2018-02-25,2,1.9649999999999999
2018-03-04,6,7.153
2018-03-11,2,3.8099999999999996
2018-03-18,4,4.2379999999999995
2018-03-25,2,3.069
2018-04-01,2,2.4290000000000003
2018-04-08,4,5.513
2018-04-15,0,0.0
2018-04-22,2,2.3040000000000003
2018-04-29,0,0.0
2018-05-06,2,3.2220000000000004
2018-05-13,1,0.537
2018-05-20,0,0.0
2018-05-27,2,1.5
2018-06-03,2,1.234
2018-06-10,0,0.0
